Network,d,a,cc,Cd,Gd,Gr,Bd
variant_240,0.42105263157894735,0.24784594378266395,0.7514609492473346,0.042959925397738186,0.5177254575299508,0.5320390078817299,0.30067968864337963
variant_241,0.18421052631578938,0.0915297330382786,0.18069665036161522,0.13129113298942308,0.5697625989171182,0.5854150895786021,0.36862813169010017
variant_242,0.22631578947368425,0.2575921653561843,0.5218863585540474,0.013870492212817886,0.7451863344466232,0.7273751546413201,0.5092245627722753
variant_243,0.1947368421052631,0.09557888789491031,0.4293277546590948,0.23948190991246676,0.7410830783390576,0.7525153710364771,0.6202182065256783
variant_244,0.12631578947368416,0.07575686237581808,0.2850864830984493,0.03900861332808869,0.798367787283933,0.809265441012182,0.6299666525711778
variant_245,0.34736842105263177,0.15542163002024578,0.6790581068758088,0.06537026352190844,0.5678883798417327,0.5817562452687357,0.24752647109876763
variant_246,0.45789473684210513,0.3306182023635765,0.41458641498822946,0.09221090006498844,0.22394924100773617,0.2449231796438136,0.09636497263497601
variant_247,0.2999999999999998,0.5055322755308631,0.4384873502848809,0.04505917435196949,0.5730261261777478,0.5593298586877282,0.39471921762385115
variant_248,0.23684210526315752,0.39116719242902215,0.09142423201353093,0.039455074889140906,0.5899647076875867,0.604518108291167,0.2921989055262701
variant_249,0.17894736842105274,0.23649889354489378,0.04888468952007211,0.033176527793560506,0.8441741228511108,0.8239969719909161,0.46607389761116663
variant_24,0.44210526315789433,0.3134799190169028,0.7470101026380435,0.04059366572892831,0.5038951020732283,0.5183315316482913,0.4405424371714542
variant_250,0.3631578947368421,0.19016902867366642,0.5403610352683444,0.13646788135706078,0.5289579575644416,0.516314991830747,0.23932572661378998
variant_252,0.27368421052631575,0.2946937238099722,0.14393431853116648,0.04898128491539033,0.6788250400507398,0.6908383878678608,0.216962534599154
variant_253,0.23684210526315752,0.11224633928151045,0.5004263698408838,0.029435475498977848,0.6486770863017606,0.6618271644288618,0.4433203299865704
variant_254,0.18947368421052646,0.07467394886764911,0.016206837281097147,0.04634853120346838,0.6556066588849783,0.6399365807539483,0.468134481302051
variant_255,0.4157894736842107,0.08117142991666271,0.755421529844357,0.05431390860151941,0.5760075410622132,0.5889804859984327,0.21917206990027455
variant_256,0.18421052631578938,0.12754837798389757,0.27509648835266626,0.19280986582265625,0.47980008329862556,0.4683320716628816,0.517676329340971
variant_257,0.22631578947368425,0.17839822967183017,0.5193475055929633,0.9999999999999996,0.4503831648722829,0.43961826600067555,0.6243531539810045
variant_258,0.18421052631578938,0.1553745468242384,0.23064365458968453,0.028335953952707715,0.6597251145356102,0.6439565985364624,0.5229994792570736
variant_259,0.26315789473684204,0.19553651301850367,0.3605504721852997,0.03546420236911452,0.6288004997917533,0.6421271763815293,0.44082335242724074
variant_25,0.2894736842105261,0.06200856914167335,0.18420712439103226,0.04662819717982147,0.5230810186477284,0.5105785214262859,0.24443959292577006
variant_260,0.331578947368421,0.123922971891332,0.32864475402792986,0.02635078733556906,0.6072926003617494,0.592777307743688,0.24076455906031075
variant_261,0.1578947368421053,0.15410330053204013,0.23662553297662914,0.06922386727512908,0.7412129004219259,0.7234966922292072,0.6018052421454609
variant_262,0.11578947368421044,0.020528273459202384,0.21551077501079718,0.13774716630414385,0.8691732427122916,0.8785111842061191,0.6942824269999832
variant_263,0.48421052631578965,0.07340270257545084,0.774186225857457,0.058545001463422786,0.5302962845940629,0.543695853309782,0.1542948655279489
variant_264,0.3842105263157891,0.25227176420735437,0.4047495082198312,0.061631792131372265,0.6256240151759167,0.6106705715743392,0.44670805232828
variant_265,0.3631578947368421,0.10146428739582841,0.6080086816792433,0.22284705309249642,0.4730694208074626,0.4617622830824406,0.22940482596854878
variant_266,0.2578947368421054,0.20641273129620047,0.4210405469320381,0.024978450493958526,0.6618536639656931,0.6460342721320442,0.3493358806371691
variant_267,0.2421052631578946,0.09633221903102784,0.0613263124491279,0.16155550261975682,0.6153738463315355,0.6006653986348514,0.14536896167944707
variant_268,0.2526315789473683,0.15123122557559204,0.3904740681195064,0.02989537689700983,0.6658731804565392,0.6499577155635234,0.33514128692499495
variant_269,0.5,0.10325344884410759,0.6583347119861701,0.05724968694332855,0.46694829535312676,0.48171298799610707,0.21775485406799416
variant_26,0.3842105263157891,0.37012100381373886,0.7519838119559391,0.04021927027043448,0.5424578725067342,0.5565516815834743,0.3728930013047906
variant_270,0.35789473684210504,0.2744950327228212,0.5115186108055458,0.0937268165411207,0.6725510956780059,0.6838071437909095,0.2801548147110226
variant_272,0.3526315789473684,0.3302886199915251,0.28094610270434156,0.1040951093951401,0.22753094996467782,0.2494787041705191,0.41079561905367296
variant_273,0.34736842105263177,0.21116813409294227,0.550674148291218,0.027760407445847957,0.5678883798417327,0.5817562452687357,0.18764103454261416
variant_274,0.3789473684210525,0.24629219831442167,0.6233993388713717,0.029767229614259705,0.6293791929325596,0.6143359944024054,0.31011589815015245
variant_275,0.41052631578947363,0.1436037478224022,0.7796067837541893,0.03904049387158848,0.5247223105858123,0.5389736956612445,0.3712268347987487
variant_276,0.21578947368421053,0.10033429069165217,0.36021339776350236,0.13652418579033165,0.7240931989590325,0.7356840584322177,0.41802831912807076
variant_277,0.2684210526315791,0.13833042986957955,0.3894651330575025,0.04921770995447572,0.6248747706473656,0.6382363263513908,0.5010539360478607
variant_278,0.2526315789473683,0.4047742360751448,0.18717459429649608,0.14390349827092397,0.5200134532508247,0.5360589638254272,0.2678223721910205
variant_279,0.2421052631578946,0.19308818682612178,0.41403896629656717,0.019189720712599723,0.6739628796124866,0.6578540575957865,0.5249788858435234
variant_27,0.27368421052631575,0.13677668440133717,0.4120377227420105,0.27756723769601743,0.36059663936706876,0.35197778622381515,0.3812954614697051
variant_280,0.2421052631578946,0.26644380620556524,0.3105711635723856,0.05540606279529481,0.4981957797696339,0.4862880807129817,0.3117733119979463
variant_281,0.2684210526315791,0.21366354348133149,0.20910080877724235,0.026632756008245106,0.7118447701538082,0.69483050860795,0.19743518771465313
variant_282,0.3789473684210525,0.1794340599839917,0.45255593589169923,0.03350002154392273,0.6016019221738618,0.6143359944024054,0.17698413082611408
variant_283,0.426315789473684,0.23343848580441645,0.6663151182830102,0.32970777731216794,0.4050953981177119,0.42204876516782197,0.16873395607348285
variant_284,0.08421052631578929,0.14416874617449033,0.02050298589195291,0.13095125246109607,0.7727497698081707,0.7847974934059334,0.5521455153447918
variant_285,0.521052631578947,0.2312726587880785,0.7643486619707298,0.040075941776484214,0.4802535805418191,0.4687747295756066,0.3823536070881414
variant_286,0.32105263157894726,0.04232779321060315,0.5417381045533438,0.17529690988679292,0.5864969704578287,0.6001995032461676,0.39417057813070616
variant_287,0.2578947368421054,0.10942134752106975,0.3955952745341024,0.04360708512230094,0.7782978386702131,0.7596952394197476,0.43201695657830225
variant_288,0.21052631578947345,0.09896887800743914,0.2743360950518061,0.029124260669433077,0.6986450681010574,0.6819463011580527,0.4511369553896893
variant_289,0.1473684210526316,0.07919393568435429,0.19289231671174628,0.04106383676984171,0.74994952976289,0.7320245017503613,0.5300427736875497
variant_28,0.23684210526315752,0.11196384010546634,0.4459510138766994,0.024111558683975076,0.6193208969946733,0.604518108291167,0.4016316611699359
variant_290,0.08947368421052637,0.10673760534865107,0.003160251008866454,0.06246175395230891,0.7993984609321063,0.7802915220826201,0.5724083137132465
variant_291,0.11578947368421044,0.10711427091670983,0.09883944818755701,0.10559849580987235,0.7457733319081652,0.7580607343591943,0.5847574397881392
variant_292,0.6105263157894738,0.33810443052874434,0.7824719357853194,0.1496620432510345,0.37500858158917305,0.3660452593079391,0.1347020161462099
variant_293,0.7052631578947368,1.0,0.4064765355326735,0.09308381970882751,0.17450175901884868,0.1703308797869656,0.27470851322354645
variant_294,0.052631578947368585,0.052874429116248456,0.0040775986364230184,0.14196665000455155,0.9589186323880203,0.9359988989057875,0.5974025974025974
variant_295,0.3947368421052633,0.25222468101134704,0.45035306284350207,0.3205297655870951,0.3696479602145972,0.38776504448325233,0.2771331984786745
variant_296,0.28421052631578947,0.2954941381420971,0.3241460240655182,0.03830666091269164,0.6131949153417482,0.6266602436170945,0.3938581025734456
variant_297,0.17368421052631566,0.1386129290456236,0.13228177473337344,0.022302538767347002,0.698132437618235,0.7108431174105618,0.3661332644508038
variant_298,0.21052631578947345,0.08898724045388201,0.0006144907973736451,0.10979217145124487,0.6986450681010574,0.6819463011580527,0.46166999671304115
variant_299,0.5,0.38627054004425826,0.7623233425783021,0.11513881543242199,0.46694829535312676,0.48171298799610707,0.3167654425075012
variant_29,0.2894736842105261,0.14073167286595412,0.5520562693366123,0.04323422692090961,0.6093337398077263,0.62283337365476,0.4638960518380795
variant_2,0.22105263157894717,0.11380008474975284,0.0161250860965981,0.04659336969531225,0.5721768472176143,0.5585008788924675,0.26968746598254195
variant_300,0.0,0.05988982532134279,0.0427549273839101,0.09051127417021698,0.9132241411039974,0.9230498389169586,0.8771127428619869
variant_301,0.20000000000000018,0.21743019916191914,0.40843100753464934,0.016910306501954242,0.8261942139493161,0.8064468125028308,0.5865360506915793
variant_302,0.09999999999999964,0.11196384010546634,0.24677898444920604,0.03201717441492535,0.8523397359489229,0.8319674134968953,0.6512530110886929
variant_303,0.2526315789473683,0.16667451386600124,0.25453643465005465,0.04637078634878877,0.753389016779968,0.7638564673016195,0.3921034455460502
variant_304,0.12631578947368416,0.1302321201563162,0.1966757301589107,0.021421805264798532,0.767653712568368,0.7493055254496159,0.6136102778289685
variant_305,0.12631578947368416,0.03102782616884031,0.2514042913443745,0.01801496286965909,0.8905100114306266,0.8692253565747483,0.6463230273133871
variant_30,0.5105263157894733,0.2058006497481049,0.8003700271150429,0.03903535905015865,0.5662346571281573,0.5785278532306184,0.1782472405730215
variant_31,0.6052631578947367,0.17505532275530866,0.74765401666464,0.16643839249216041,0.3012506256949514,0.31902436991714667,0.2762788060813857
variant_32,0.12105263157894752,0.08823390931776448,0.20923377410743688,0.16617827073056812,0.8336923632813038,0.8137657437254873,0.48446833450011945
variant_33,0.15263157894736823,0.04237487640661053,0.08500034191500093,0.18261545925061862,0.6848127005904405,0.6684445499959597,0.39343470613572823
variant_34,0.2789473684210524,0.11507133104195116,0.43109409861374,0.6999125517584441,0.6748119960368479,0.6868627976484345,0.5490200940643573
variant_35,0.30526315789473646,0.12891379066811054,0.534599622009713,0.1948633478901769,0.6549934794928345,0.667229247589382,0.5201197424172146
variant_36,0.32105263157894726,0.16384952210556053,0.6431819469327981,0.03275949099184894,0.7000952590188578,0.7110826057529087,0.3538403995402755
variant_37,0.1473684210526316,0.11328216959367204,0.06780765000737853,0.25677916507612597,0.38459957550438406,0.3754070126839202,0.30305343337863627
variant_38,0.5789473684210522,0.3361269362964358,0.7316493577052553,0.06891912678566481,0.3415243648479802,0.3333613704544818,0.09818254289700223
variant_39,0.4894736842105263,0.2444088704741278,0.5724380036990375,0.07272358296230541,0.3402406422435522,0.3321083309330235,0.11558003759040403
variant_3,0.3947368421052633,0.1442158293704977,0.6438181126061131,0.038765222792083165,0.5353215038288504,0.549478717743084,0.45848922680846466
variant_40,0.331578947368421,0.17241866377889725,0.5256381048325726,0.04489995023689364,0.5507238785732449,0.5375606715055441,0.426534932907256
variant_41,0.5052631578947366,0.12321672395122185,0.7941479302140738,0.04264670129024628,0.49017598814182306,0.4784599753038803,0.29208002148972084
variant_42,0.48421052631578965,0.22628184001129997,0.7082494184315204,0.10532004030694919,0.4768702695715865,0.4915468079737575,0.35345409514764686
variant_43,0.1947368421052631,0.1436037478224022,0.01658016402269237,0.1619577281725646,0.4723513668020196,0.4610613917494857,0.3127977499147893
variant_44,0.20000000000000018,0.1501012288714158,0.13989855945973573,0.0465662412536334,0.73680838112325,0.7482805696280339,0.4648884260062876
variant_45,0.28421052631578947,0.09096473468619048,0.33985516017533046,0.04633685187669778,0.52676398608018,0.5141734598757515,0.30180280340448246
