Network,S,Sp,N,Np
variant_51,96.30801451644473,64.67954421705421,27.33594542934718,37.303126787121904
variant_52,96.70478557306889,66.71555157772255,31.1819605661087,42.51830270431795
variant_53,96.49918050845231,65.0148150131529,29.903604898581637,39.58394514083165
variant_54,96.42696456221488,65.5688591541137,28.452011107848136,39.008717290839115
variant_55,96.2629678655923,64.5369202254395,27.506607520981778,37.26731994827328
variant_56,96.26415450266317,64.26873472556453,25.547406709016624,35.914388166741375
variant_57,96.39745059892344,64.78860392344595,29.182702463201387,38.54528921106458
variant_58,96.37828642177034,65.53601216159943,29.377836854768493,40.47782809626115
variant_59,96.35456139628528,64.6771348779672,27.249004363797486,36.710253120862255
variant_5,96.4547434691223,65.81446018576369,28.980226381654532,40.33614635980979
variant_60,96.94501173144309,64.68757753478486,28.56548529858782,38.18541760047812
variant_61,96.66591615000372,65.24667889966551,30.713251621611874,39.91097234887712
variant_62,96.99994803479844,65.2485152560592,28.26615042993967,38.740037197895894
variant_63,97.0570825969834,66.01270920353132,32.642184062607875,42.07213403607474
variant_64,96.51973287694707,64.1156399658863,26.010705987212578,36.08659587731907
variant_65,96.62658780711398,65.84035514435939,28.928576948639083,39.37039212352586
variant_66,96.84178708486215,65.1063268474568,30.101057718563396,39.90388826205454
variant_67,96.28060480682943,64.90975746797442,27.63489389325956,36.95922657228087
variant_68,96.67809830087995,65.97525151141606,31.070031994312124,41.720119321782406
variant_69,96.79972969959823,67.39318590289608,31.096565119502106,43.157673740449354
variant_6,96.75326332863446,64.48454302775188,28.379109414364983,36.98717651483537
variant_70,96.5567055597878,64.54377710115982,27.496432196273,37.10258272925393
variant_71,96.43720473253342,65.97396111018539,29.306609581807034,40.34142722453207
variant_72,96.6643382471044,64.37269827967202,28.683467544578228,38.405925903027864
variant_73,96.56800164956658,66.2707398823839,31.938283435601786,41.910359253363005
variant_74,95.88064725640092,64.73680155096703,27.10229936578103,38.48320685018315
variant_75,96.75857485091127,65.42862056007982,29.952163093710876,40.39320545912611
variant_76,96.7064301809555,65.3601374917909,28.151001818678292,38.49248056384179
variant_77,96.71166160373411,64.45047799956289,28.313291807704392,37.75882677218091
variant_78,96.31729477667919,65.06913105523431,29.20176509683303,39.57956588715951
variant_79,96.47296667851757,64.36711076473904,26.720531486833906,36.57939071701263
variant_7,96.60716039579148,65.66440381536978,29.646259344554522,40.872218529910306
variant_80,96.52400483020105,65.48449039909065,29.94572301478127,40.15402092768049
variant_81,96.64732929664353,64.68271403956268,27.888890606243272,37.08467930982962
variant_82,96.22689520799305,64.18760342743138,25.556036414782298,35.643389645383486
variant_83,96.88677529581078,65.20823637524602,30.425766498194204,40.425663456931325
variant_84,96.56217567641599,65.37687991643841,28.94351793175577,38.69882069274641
variant_85,96.23355408491362,64.89849392332133,26.877025404823364,37.31909818286733
variant_86,96.30056472130869,64.64293248889068,26.50259921585599,36.3664817075998
variant_87,96.4530367374726,64.39389301725068,26.537890848390237,36.31341545721985
variant_88,96.11153616338822,64.27558843732469,25.11334538916109,36.37214897705787
variant_89,96.4339811494326,65.99003862275899,30.07104695075143,41.10393256979758
variant_8,96.45158449033454,64.14095684555524,26.687815885871498,36.12536515247532
variant_90,96.62098516420228,63.99980468828155,26.257489811795136,35.64300324064772
variant_91,96.37051116044293,64.31409493982345,26.21408367980958,35.79524670654364
variant_92,96.37898596481938,64.15679803560732,27.97930931441496,37.91107023807684
variant_93,96.53826647217889,66.91321866030152,29.32927865963925,42.034395173547246
variant_94,96.3933574127744,64.14664912515546,25.481975507091818,35.0627521290901
variant_95,96.90778384617767,65.53949650576239,30.05790918973503,41.660870595630016
variant_96,95.79645827647967,64.31153807237554,25.249617459311583,36.3829683096596
variant_97,96.60127825659276,64.86654277776425,28.15757069918649,37.34060804649222
variant_98,96.54112581106499,64.52764822114287,27.584017269715655,36.60837107219586
variant_99,96.67067945236427,65.36277922918497,28.34819703550287,39.2337336486396
variant_9,96.85418162378933,67.29089806623374,30.910962044750825,43.56404272090759
