Network,S,Sp,N,Np,Overall
variant_239,0.5415402903868625,0.22319872393121187,0.357257977866122,0.2283894516846785,0.26641146306820646
variant_23,0.7331629374940505,0.2366253358721302,0.3737586148674579,0.22374154052996653,0.3456944527913863
variant_240,0.614828016513485,0.22680883588231993,0.4474512271869102,0.24809907938751286,0.33469170118060115
variant_241,0.877201220459213,0.017896093449024875,0.44108121383290566,0.14942672053067652,0.31583724902891314
variant_242,0.7589290297308295,0.2180733457036066,0.5096471166096181,0.2806758642513887,0.41881285084320824
variant_243,0.9016601036782674,0.49545961334286837,0.5366928118620389,0.34169910758553046,0.604567387151357
variant_244,0.7935916893323167,0.5499430130650822,0.6025111667101566,0.4213864574050774,0.6381666514809909
variant_245,0.6723248237531081,0.3941114504682641,0.6234017406253356,0.3834474944161652,0.5306487829818294
variant_246,0.4806045423563532,0.37346468076549577,0.258054613271117,0.22008739211657335,0.2597679765493987
variant_247,0.7595404687862128,0.39246396539492245,0.7490675221415519,0.4688800350839655,0.6390876507332357
variant_248,0.6663217491892723,0.22034818569277093,0.4905984742666809,0.24447598605978582,0.36559944273471295
variant_249,0.705695523532377,0.3069259626493128,0.36462570415509044,0.23477644763670025,0.36204626780023547
variant_24,0.5303874159095798,0.17909708046312645,0.15521343382093367,0.11674641871458169,0.13155408803122692
variant_250,0.696125160089025,0.376145091906249,0.5023254386099554,0.36408982435088255,0.48144918727254055
variant_252,0.48072840564719854,0.0,0.22532962900428277,0.03849795453090277,0.04496558862768463
variant_253,0.770308038590052,0.23507759277602247,0.43297671491504097,0.19368021760505494,0.3693636756984398
variant_254,0.753938491287407,0.11643203191732532,0.4589939983729603,0.2579745966293734,0.35302347103831516
variant_255,0.5848539082318567,0.22700629601023792,0.3952017682543092,0.11907555013954862,0.2575478882427338
variant_256,0.816732004894746,0.7472140165470691,0.6791662189749648,0.5997565177766822,0.8119503157718946
variant_257,0.8647951626551915,0.45050211612517366,0.5918279635911521,0.40984431723246173,0.6197212738042317
variant_258,0.7376488126508676,0.4313078266956616,0.5276673471580531,0.3249811198018766,0.5117583294967136
variant_259,0.5957576560856239,0.43697960035805217,0.5032771032556136,0.3720192228909931,0.47024515499992176
variant_25,0.616920657158353,0.17765650841927005,0.35098006109073054,0.1703267931840502,0.2537999817576492
variant_260,0.6624553637230832,0.34285880073463737,0.5779213802207241,0.34292060762173504,0.4768693982440059
variant_261,0.3093530668958522,0.641906367783811,0.3734823251316213,0.5736391907313823,0.4667168814905566
